onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
6.438	n/a	SESS_START	3219	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	n/a	n/a	0	0	0
16.582	n/a	START	8291	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
16.612	n/a	PROB	8306	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	10	4	1	5
19.398	n/a	PROB	9699	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	19	3	9	7
21.1	n/a	PROB	10550	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	9	5	2	2
22.484	n/a	PROB	11242	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	23	9	6	8
24.47	n/a	PROB	12235	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	19	3	7	9
26.004	n/a	PROB	13002	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	16	2	7	7
27.084	n/a	STOP	13542	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
45.888	n/a	DISTRACTOR	22944	n/a	LTP303	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
45.888	n/a	START	22944	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
45.922	n/a	PROB	22961	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	6	3	1	2
46.972	n/a	PROB	23486	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	8	1	5	2
47.974	n/a	PROB	23987	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	17	8	7	2
49.058	n/a	PROB	24529	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	10	1	4	5
50.06	n/a	PROB	25030	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	16	4	3	9
51.342	n/a	PROB	25671	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	10	1	8	1
52.694	n/a	PROB	26347	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	16	8	6	3
54.112	n/a	PROB	27056	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	11	4	6	1
55.012	n/a	PROB	27506	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	15	8	3	4
56.362	n/a	PROB	28181	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	15	6	3	6
57.914	n/a	PROB	28957	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	9	5	1	3
59.016	n/a	PROB	29508	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	13	3	4	6
60.25	n/a	PROB	30125	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	18	4	9	5
61.518	n/a	PROB	30759	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	13	2	9	2
62.802	n/a	PROB	31401	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	9	2	2	5
63.97	n/a	PROB	31985	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	16	6	3	7
65.038	n/a	PROB	32519	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	14	4	3	7
66.538	n/a	PROB	33269	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	16	1	7	8
67.722	n/a	PROB	33861	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	18	8	5	5
68.772	n/a	STOP	34386	n/a	LTP303	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
70.826	n/a	WORD	35413	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	PADDING	999	n/a	n/a	0	0	0
73.544	n/a	WORD	36772	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	CELLAR	267	n/a	n/a	0	0	0
76.064	n/a	WORD	38032	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	HORNET	718	n/a	n/a	0	0	0
78.85	n/a	WORD	39425	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	WASP	1593	n/a	n/a	0	0	0
81.568	n/a	WORD	40784	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	PLAYGROUND	1087	n/a	n/a	0	0	0
84.138	n/a	WORD	42069	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	SIDEWALK	1303	n/a	n/a	0	0	0
86.74	n/a	WORD	43370	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	SEAGULL	1261	n/a	n/a	0	0	0
89.492	n/a	WORD	44746	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	TABLE	1426	n/a	n/a	0	0	0
91.96	n/a	WORD	45980	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	SPONGE	1355	n/a	n/a	0	0	0
94.478	n/a	WORD	47239	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	COSTUME	383	n/a	n/a	0	0	0
97.216	n/a	WORD	48608	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	POWDER	1117	n/a	n/a	0	0	0
99.984	n/a	WORD	49992	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	TUTU	1524	n/a	n/a	0	0	0
102.602	n/a	WORD	51301	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	GARBAGE	622	n/a	n/a	0	0	0
105.172	n/a	WORD	52586	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	PIANO	1057	n/a	n/a	0	0	0
107.992	n/a	WORD	53996	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	BATHTUB	100	n/a	n/a	0	0	0
110.692	n/a	WORD	55346	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	CRAYON	401	n/a	n/a	0	0	0
113.462	n/a	WORD	56731	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	SLOPE	1328	n/a	n/a	0	0	0
116.082	n/a	WORD	58041	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	LAVA	804	n/a	n/a	0	0	0
118.766	n/a	WORD	59383	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	QUARTER	1148	n/a	n/a	0	0	0
121.386	n/a	WORD	60693	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	TUBA	1515	n/a	n/a	0	0	0
123.92	n/a	WORD	61960	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	22	1	HOOK	715	n/a	n/a	0	0	0
