subject,session,trial,serialpos,word,recalled,embedding_fidelity
LTP269,20,1,1,SWIMMER,1,0.7836882217812605
LTP269,20,1,2,WHISTLE,1,0.8793658635825612
LTP269,20,1,3,SCULPTURE,1,0.8582540588786267
LTP269,20,1,4,EXPERT,1,0.8333282367347276
LTP269,20,1,5,SCISSORS,1,0.8142378938152313
LTP269,20,1,6,CASHIER,1,0.8713489693335306
LTP269,20,1,7,ACTRESS,1,0.8901493807019976
LTP269,20,1,8,RECEIPT,1,0.8528924300097624
LTP269,20,1,9,ARMY,0,0.8713128865481541
LTP269,20,1,10,MARINE,0,0.8559163717289535
LTP269,20,1,11,RACKET,0,0.8809194083709587
LTP269,20,1,12,PECAN,0,0.8052669205837567
LTP269,20,1,13,CASHEW,0,0.8888931682639789
LTP269,20,1,14,SKETCH,0,0.8649624736959431
LTP269,20,1,15,MATCH,0,0.841330111951221
LTP269,20,1,16,ZIPPER,0,0.7777656555261222
LTP269,20,1,17,AUTHOR,0,0.8591672354855281
LTP269,20,1,18,POSTAGE,0,0.8725177045427165
LTP269,20,1,19,BLENDER,0,0.8976282609285511
LTP269,20,1,20,BELLY,0,0.8640004868469531
LTP269,20,1,21,PLAID,0,0.7945453939292374
LTP269,20,1,22,MONEY,0,0.8298109761378749
LTP269,20,1,23,POISON,1,0.8241515459063973
LTP269,20,1,24,DRUG,0,0.8546109608237067
LTP269,20,2,1,PUPIL,0,0.8519091696667397
LTP269,20,2,2,CREVICE,0,0.8647855222575782
LTP269,20,2,3,TYPIST,0,0.8935440395307335
LTP269,20,2,4,PEACH,0,0.8442196095487763
LTP269,20,2,5,NOTEBOOK,0,0.7937874450772336
LTP269,20,2,6,FEMALE,0,0.794712901443424
LTP269,20,2,7,FOOT,0,0.7943475151007036
LTP269,20,2,8,STUDENT,0,0.8370243300625407
LTP269,20,2,9,PASTA,0,0.8625497896067841
LTP269,20,2,10,PICTURE,0,0.8329060314333128
LTP269,20,2,11,PLATE,0,0.7916289972610692
LTP269,20,2,12,ATOM,0,0.7741362024971609
LTP269,20,2,13,PROTON,1,0.8246632323466422
LTP269,20,2,14,RUG,1,0.8271122745125521
LTP269,20,2,15,TEACHER,0,0.8584648819870487
LTP269,20,2,16,HAWK,0,0.7887539772780618
LTP269,20,2,17,TRIBE,0,0.8620301858179804
LTP269,20,2,18,FOOTBALL,0,0.8409637983532883
LTP269,20,2,19,WOMAN,0,0.8511693006432116
LTP269,20,2,20,CRATER,0,0.8683628752094316
LTP269,20,2,21,TUTU,0,0.8026956050547884
LTP269,20,2,22,DRESS,0,0.8619573477740186
LTP269,20,2,23,SHELTER,1,0.8241900036474112
LTP269,20,2,24,KEEPER,0,0.8249782984174253
