trial_row_index,word,peers_row_index,matched,embedding_l2_norm
0,SWIMMER,506,True,2494.419677734375
1,WHISTLE,560,True,2084.89453125
2,SCULPTURE,444,True,2004.675048828125
3,EXPERT,168,True,2365.7470703125
4,SCISSORS,441,True,2233.493896484375
5,CASHIER,77,True,2195.30419921875
6,ACTRESS,1,True,1939.72705078125
7,RECEIPT,417,True,2342.794921875
8,ARMY,10,True,2234.750244140625
9,MARINE,301,True,2334.469482421875
10,RACKET,411,True,2147.947265625
11,PECAN,364,True,2294.080810546875
12,CASHEW,76,True,2080.745361328125
13,SKETCH,464,True,2135.302734375
14,MATCH,308,True,2228.026123046875
15,ZIPPER,575,True,2337.90380859375
16,AUTHOR,14,True,2429.25341796875
17,POSTAGE,396,True,2025.603271484375
18,BLENDER,39,True,2084.64990234375
19,BELLY,33,True,2187.914794921875
20,PLAID,381,True,2223.8818359375
21,MONEY,317,True,2268.055419921875
22,POISON,390,True,2148.69189453125
23,DRUG,160,True,2321.187744140625
24,PUPIL,405,True,2103.415771484375
25,CREVICE,127,True,2100.122802734375
26,TYPIST,541,True,2158.7080078125
27,PEACH,361,True,2050.108154296875
28,NOTEBOOK,330,True,2300.633056640625
29,FEMALE,171,True,2226.359375
30,FOOT,185,True,2371.87353515625
31,STUDENT,496,True,2280.460205078125
32,PASTA,357,True,2075.3818359375
33,PICTURE,373,True,2235.12744140625
34,PLATE,383,True,2200.24609375
35,ATOM,13,True,2159.95166015625
36,PROTON,402,True,2343.260009765625
37,RUG,429,True,2240.56201171875
38,TEACHER,513,True,2150.91162109375
39,HAWK,228,True,2218.455322265625
40,TRIBE,528,True,2232.765625
41,FOOTBALL,186,True,2091.77197265625
42,WOMAN,565,True,2254.956298828125
43,CRATER,124,True,2023.1527099609375
44,TUTU,537,True,2186.107666015625
45,DRESS,155,True,2274.642578125
46,SHELTER,452,True,2078.357666015625
47,KEEPER,262,True,2139.084716796875
48,ROCKET,426,True,2172.906005859375
49,DOLPHIN,148,True,1990.6260986328125
50,FLIPPER,182,True,2317.82861328125
51,GYMNAST,222,True,1971.5020751953125
52,MEDAL,311,True,2194.55322265625
53,LEADER,279,True,2235.185302734375
54,SPACE,477,True,2484.660888671875
55,VENUS,549,True,2081.550048828125
56,HIGHWAY,234,True,2307.929443359375
57,SWAMP,505,True,2278.80712890625
58,POCKET,388,True,2136.9677734375
59,SEAFOOD,445,True,2151.49072265625
60,FLASK,179,True,2047.5311279296875
61,PACKAGE,345,True,2234.099609375
62,SPOON,483,True,2054.32421875
63,RIFLE,421,True,2132.399169921875
64,MAPLE,300,True,2359.5771484375
65,SNACK,472,True,2334.36083984375
66,CLOCK,96,True,2249.579833984375
67,GARLIC,203,True,2301.823486328125
68,SALT,434,True,2259.532470703125
69,STONE,493,True,2366.747802734375
70,GANGSTER,200,True,2147.4033203125
71,SPOOL,482,True,2078.859130859375
72,ROBIN,424,True,2077.824462890625
73,ROOSTER,428,True,2175.1376953125
74,HAMPER,223,True,2088.714599609375
75,BUREAU,63,True,2235.600830078125
76,EUROPE,167,True,2393.386474609375
77,MAILMAN,298,True,2130.803955078125
78,IGLOO,248,True,2006.7991943359375
79,ICEBERG,245,True,2132.827880859375
80,BLACKBOARD,37,True,2149.679443359375
