subject,session,trial,serialpos,word,recalled,embedding_fidelity,raw_cosine,centered_cosine,true_word_percentile,centered_true_word_percentile
LTP269,20,1,1,SWIMMER,1,0.7836882217812594,0.7836882217812594,-0.1311198754745319,0.0678260869565217,0.1878260869565217
LTP269,20,1,2,WHISTLE,1,0.8793658635825613,0.8793658635825613,0.1075548697602992,0.8765217391304347,0.7808695652173914
LTP269,20,1,3,SCULPTURE,1,0.8582540588786255,0.8582540588786255,0.1107107016282038,0.6052173913043478,0.8278260869565217
LTP269,20,1,4,EXPERT,1,0.8333282367347273,0.8333282367347273,0.1123152211146876,0.3078260869565217,0.8382608695652174
LTP269,20,1,5,SCISSORS,1,0.8142378938152307,0.8142378938152307,-0.0719905213895307,0.1773913043478261,0.3304347826086956
LTP269,20,1,6,CASHIER,1,0.8713489693335307,0.8713489693335307,0.0928343194696116,0.768695652173913,0.7843478260869565
LTP269,20,1,7,ACTRESS,1,0.8901493807019968,0.8901493807019968,0.1988606776879442,0.9686956521739132,0.9478260869565216
LTP269,20,1,8,RECEIPT,1,0.8528924300097619,0.8528924300097619,0.2108469310459699,0.551304347826087,0.92
LTP269,20,1,9,ARMY,0,0.8713128865481528,0.8713128865481528,0.1432750685550292,0.7878260869565217,0.8608695652173913
LTP269,20,1,10,MARINE,0,0.8559163717289526,0.8559163717289526,0.0158960123873107,0.5808695652173913,0.5617391304347826
LTP269,20,1,11,RACKET,0,0.8809194083709573,0.8809194083709573,0.0061461770266797,0.902608695652174,0.5356521739130435
LTP269,20,1,12,PECAN,0,0.8052669205837555,0.8052669205837555,-0.1250673001050916,0.1443478260869565,0.1669565217391304
LTP269,20,1,13,CASHEW,0,0.8888931682639781,0.8888931682639781,0.0985477943577168,0.954782608695652,0.7895652173913044
LTP269,20,1,14,SKETCH,0,0.864962473695942,0.864962473695942,0.1159838353439148,0.6817391304347826,0.8121739130434783
LTP269,20,1,15,MATCH,0,0.8413301119512199,0.8413301119512199,-0.0348056212339595,0.4034782608695652,0.4
LTP269,20,1,16,ZIPPER,0,0.777765655526121,0.777765655526121,-0.0491943422770256,0.0417391304347826,0.3791304347826086
LTP269,20,1,17,AUTHOR,0,0.8591672354855268,0.8591672354855268,0.1269761196614973,0.6017391304347826,0.8782608695652174
LTP269,20,1,18,POSTAGE,0,0.8725177045427165,0.8725177045427165,0.1405445700928812,0.7547826086956522,0.8260869565217391
LTP269,20,1,19,BLENDER,0,0.8976282609285494,0.8976282609285494,0.094570329462926,0.9843478260869564,0.7373913043478261
LTP269,20,1,20,BELLY,0,0.8640004868469524,0.8640004868469524,-0.0913690022667673,0.6608695652173913,0.2591304347826086
LTP269,20,1,21,PLAID,0,0.7945453939292375,0.7945453939292375,-0.0973439545033833,0.0904347826086956,0.2469565217391304
LTP269,20,1,22,MONEY,0,0.829810976137875,0.829810976137875,0.1436595517164021,0.2834782608695652,0.8469565217391304
LTP269,20,1,23,POISON,1,0.8241515459063967,0.8241515459063967,-0.0379769878454336,0.2417391304347825,0.4417391304347826
LTP269,20,1,24,DRUG,0,0.854610960823707,0.854610960823707,-0.0932624314362088,0.5460869565217391,0.2052173913043478
LTP269,20,2,1,PUPIL,0,0.8519091696667382,0.8519091696667382,0.185175255763369,0.5078260869565218,0.9460869565217392
