group,n,mean_embedding_fidelity,sd_embedding_fidelity,mean_centered_true_word_percentile,sd_centered_true_word_percentile
remembered,17040,0.84501,0.03258,0.51977,0.27832
forgotten,19824,0.84553,0.03264,0.51703,0.27776
