subject,session,trial,serialpos,word,item_num,onset,sample,recalled,eeg_file,event_file
LTP293,5,1,24,FLAG,573,368.444,184222,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,1,AIRPLANE,12,486.51,243255,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,2,LUMBER,848,488.98,244490,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,3,AIRPORT,13,491.782,245891,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,4,OFFICE,972,494.268,247134,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,5,NIGHTGOWN,953,496.854,248427,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,6,POSTAGE,1113,499.306,249653,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,7,COWBOY,395,501.976,250988,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,8,DORM,488,504.576,252288,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,9,TWISTER,1530,507.112,253556,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,10,JUGGLER,763,509.83,254915,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,11,BASEMENT,94,512.4,256200,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,12,PLUTO,1092,515.168,257584,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,13,HEDGE,699,517.938,258969,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,14,TWIG,1527,520.74,260370,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,15,BROOK,177,523.176,261588,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,16,KIDNEY,776,525.694,262847,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,17,PLAID,1080,528.28,264140,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,18,TABLE,1426,531.116,265558,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,19,COUCH,386,533.568,266784,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,20,STAKE,1368,536.088,268044,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,21,DAUGHTER,442,538.838,269419,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,22,HUSBAND,728,541.308,270654,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,23,WIDOW,1608,544.078,272039,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,2,24,TYPIST,1532,546.896,273448,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,1,FIDDLE,561,689.818,344909,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,2,BATHTUB,100,692.42,346210,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,3,TROUT,1511,694.972,347486,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,4,CURTAIN,427,697.774,348887,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,5,TORTOISE,1486,700.276,350138,0,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,6,STOMACH,1384,702.728,351364,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,7,CRICKET,408,705.364,352682,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,8,SLUG,1329,707.816,353908,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,9,PILOT,1070,710.468,355234,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,10,SMOG,1330,713.088,356544,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
LTP293,5,3,11,CLOUD,328,715.706,357853,1,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-5/eeg/sub-LTP293_ses-5_task-ltpFR2_events.tsv
