mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
417969	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
417986	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	16	6	9	1
419634	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	22	6	8	8
422771	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	8	3	4	1
424306	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	16	6	3	7
426109	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	12	5	5	2
427158	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	18	6	3	9
428559	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	14	3	4	7
430412	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	19	9	2	8
431761	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	9	7	1	1
434115	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	19	5	6	8
436700	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	17	8	4	5
439234	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	20	7	6	7
441031	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
443089	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	GYMNAST	675	n/a	n/a	0	0	0
445890	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	FOOTBALL	591	n/a	n/a	0	0	0
448692	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	RIFLE	1192	n/a	n/a	0	0	0
451361	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	PEBBLE	1035	n/a	n/a	0	0	0
453779	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	VIKING	1565	n/a	n/a	0	0	0
456435	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	BUBBLE	183	n/a	n/a	0	0	0
459102	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	BATHTUB	100	n/a	n/a	0	0	0
461903	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	GROUND	666	n/a	n/a	0	0	0
464538	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	CONTRACT	368	n/a	n/a	0	0	0
467292	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	DRINK	498	n/a	n/a	0	0	0
470010	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	BRANDY	169	n/a	n/a	0	0	0
472745	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	STONE	1385	n/a	n/a	0	0	0
475281	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	FLUTE	585	n/a	n/a	0	0	0
477782	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	LEADER	807	n/a	n/a	0	0	0
480302	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	CASHIER	254	n/a	n/a	0	0	0
483043	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	COIN	343	n/a	n/a	0	0	0
485511	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	CABBAGE	210	n/a	n/a	0	0	0
487981	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	PALACE	1006	n/a	n/a	0	0	0
490693	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	SKIRT	1319	n/a	n/a	0	0	0
493162	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	PEACH	1031	n/a	n/a	0	0	0
