filename	acq_time
eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf	2015-05-01T13:11:53.000000Z
eeg/sub-LTP269_ses-12_task-ltpFR_eeg.edf	2013-11-20T19:17:37.000000Z
