mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	n/a	n/a	0	0	0
16616	START	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
16647	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	11	2	3	6
17898	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	7	3	3	1
19083	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	15	4	5	6
20851	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	20	8	3	9
22653	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	18	6	7	5
24153	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	19	4	8	7
25605	PROB	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	15	8	5	2
27199	STOP	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
58884	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SWIMMER	1420	n/a	n/a	0	0	0
61403	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	WHISTLE	1606	n/a	n/a	0	0	0
63955	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SCULPTURE	1258	n/a	n/a	0	0	0
66424	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	EXPERT	543	n/a	n/a	0	0	0
69010	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SCISSORS	1250	n/a	n/a	0	0	0
71662	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	CASHIER	254	n/a	n/a	0	0	0
74414	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	ACTRESS	6	n/a	n/a	0	0	0
77067	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	RECEIPT	1173	n/a	n/a	0	0	0
79702	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	ARMY	39	n/a	n/a	0	0	0
