mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	n/a	n/a	0	0	0
15250	START	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
15279	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	16	7	3	6
16897	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	10	3	4	3
18047	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	2	5	8
19232	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	20	6	5	9
20567	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	18	4	8	6
21784	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	21	7	6	8
23405	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	14	8	5	1
24570	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	9	5	1
25505	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	8	3	4
26675	STOP	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
56998	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CATTLE	261	n/a	n/a	0	0	0
59735	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	LIGHTNING	820	n/a	n/a	0	0	0
62452	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	GYMNAST	675	n/a	n/a	0	0	0
65204	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	JEANS	752	n/a	n/a	0	0	0
67872	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	OX	994	n/a	n/a	0	0	0
70479	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	TABLET	1427	n/a	n/a	0	0	0
72993	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	DRESSER	496	n/a	n/a	0	0	0
75483	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	FRANCE	601	n/a	n/a	0	0	0
78248	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	DONOR	485	n/a	n/a	0	0	0
80787	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CHEST	295	n/a	n/a	0	0	0
83418	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	ANTLER	29	n/a	n/a	0	0	0
85954	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	ELBOW	520	n/a	n/a	0	0	0
88712	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	ROBOT	1200	n/a	n/a	0	0	0
91459	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	SHOULDER	1294	n/a	n/a	0	0	0
94160	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	BEAST	108	n/a	n/a	0	0	0
96695	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CHIPMUNK	304	n/a	n/a	0	0	0
99269	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	BACON	67	n/a	n/a	0	0	0
101950	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	MILDEW	893	n/a	n/a	0	0	0
104635	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CABBAGE	210	n/a	n/a	0	0	0
107186	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	GRIZZLY	662	n/a	n/a	0	0	0
109923	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	HAND	683	n/a	n/a	0	0	0
112592	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	LASER	801	n/a	n/a	0	0	0
115027	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	RIFLE	1192	n/a	n/a	0	0	0
117846	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	SERVER	1272	n/a	n/a	0	0	0
119456	START	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
120491	DISTRACTOR	n/a	LTP293	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
120500	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	9	4	1	4
121698	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	18	5	4	9
122615	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	15	4	6	5
123582	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	14	9	4	1
124635	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	22	8	7	7
125851	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	14	8	1	5
126903	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	11	3	2	6
127904	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	12	2	2	8
129170	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	17	4	6	7
130222	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	17	8	2	7
131255	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	18	8	4	6
132507	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	8	4	1	3
134375	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	18	2	9	7
135842	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	20	9	6	5
137126	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	14	3	7	4
138161	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	24	9	6	9
139563	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	24	8	8	8
140630	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	24	8	9	7
142624	STOP	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
145272	REC_START	n/a	LTP293	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
145867	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	GRIZZLY	662	n/a	n/a	0	0	0
146863	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	MILDEW	893	n/a	n/a	0	0	0
147895	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	HAND	683	n/a	n/a	0	0	0
149065	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	ELBOW	520	n/a	n/a	0	0	0
150059	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CABBAGE	210	n/a	n/a	0	0	0
151121	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	DRESSER	496	n/a	n/a	0	0	0
152186	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CHEST	295	n/a	n/a	0	0	0
154764	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	GYMNAST	675	n/a	n/a	0	0	0
156564	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	FRANCE	601	n/a	n/a	0	0	0
158106	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	OX	994	n/a	n/a	0	0	0
159624	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CATTLE	261	n/a	n/a	0	0	0
161072	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	BEAST	108	n/a	n/a	0	0	0
163954	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	LIGHTNING	820	n/a	n/a	0	0	0
165016	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	TABLET	1427	n/a	n/a	0	0	0
209818	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	JEANS	752	n/a	n/a	0	0	0
235723	DISTRACTOR	n/a	LTP293	ltpFR2	22	2	n/a	n/a	n/a	n/a	0	0	0
235723	START	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
235741	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	15	9	5	1
236671	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	12	3	4	5
238224	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	21	9	5	7
239260	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	5	1	1	3
240042	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	13	2	3	8
241228	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	17	8	2	7
242546	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	15	5	9	1
243396	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	9	3	1	5
244631	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	12	3	2	7
246314	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	17	4	5	8
247331	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	21	8	5	8
248533	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	15	7	3	5
249351	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	13	1	7	5
250420	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	9	3	4	2
251936	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	15	7	6	2
253489	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	14	9	1	4
254438	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	14	2	3	9
256156	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	13	2	2	9
257443	PROB	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	4	1	2	1
258236	STOP	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
260726	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	2	RECORD	1176	n/a	n/a	0	0	0
263179	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	2	COBRA	336	n/a	n/a	0	0	0
