mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	n/a	n/a	0	0	0
11239	START	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
11254	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	14	7	6	1
12971	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	8	4	2	2
14206	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	12	4	2	6
15474	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	15	8	6	1
17091	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	26	9	9	8
19044	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	12	6	5	1
20327	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	10	4	3	3
22767	STOP	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
52288	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	APRON	35	n/a	n/a	0	0	0
54798	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	FOOT	590	n/a	n/a	0	0	0
57284	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	OYSTER	995	n/a	n/a	0	0	0
59961	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	TORTOISE	1486	n/a	n/a	0	0	0
62430	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PISTOL	1075	n/a	n/a	0	0	0
64948	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	STAPLE	1371	n/a	n/a	0	0	0
67510	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	CYCLONE	431	n/a	n/a	0	0	0
70286	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	HEDGE	699	n/a	n/a	0	0	0
72971	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PUDDLE	1140	n/a	n/a	0	0	0
75390	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	NEUTRON	947	n/a	n/a	0	0	0
78091	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	ATOM	55	n/a	n/a	0	0	0
80843	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PANTHER	1009	n/a	n/a	0	0	0
83295	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	BIKE	125	n/a	n/a	0	0	0
86042	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	SWAMP	1416	n/a	n/a	0	0	0
88727	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	STAR	1373	n/a	n/a	0	0	0
91296	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	SOFTBALL	1343	n/a	n/a	0	0	0
93904	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	DOUGHNUT	490	n/a	n/a	0	0	0
96485	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	LILY	821	n/a	n/a	0	0	0
99120	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	HEART	697	n/a	n/a	0	0	0
101557	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	TEMPLE	1448	n/a	n/a	0	0	0
104113	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	FARMER	553	n/a	n/a	0	0	0
106610	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	GLASS	639	n/a	n/a	0	0	0
109162	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	CATCHER	258	n/a	n/a	0	0	0
111915	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	BODY	145	n/a	n/a	0	0	0
113522	START	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
114431	DISTRACTOR	n/a	LTP302	ltpFR2	17	1	n/a	n/a	n/a	n/a	0	0	0
114438	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	1	11	3	2	6
116556	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	1	7	1	1	5
117890	PROB	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	1	15	8	6	1
