subject,session,trial,serialpos,word,recalled,raw_cosine,centered_cosine,true_word_rank,true_word_percentile,top1_correct,top5_correct,top10_correct,centered_true_word_rank,centered_true_word_percentile,centered_top1_correct,centered_top5_correct,centered_top10_correct
LTP302,17,1,1,APRON,1,0.8752551678442723,0.060736221902311274,74,0.8730434782608696,0,0,0,152,0.7373913043478261,0,0,0
LTP302,17,1,2,FOOT,1,0.7883749934597442,0.07559648170368176,537,0.0678260869565217,0,0,0,130,0.7756521739130435,0,0,0
LTP302,17,1,3,OYSTER,1,0.8563371495481409,0.0008791620794766112,221,0.6173913043478261,0,0,0,250,0.5669565217391304,0,0,0
LTP302,17,1,4,TORTOISE,0,0.8941745197289291,0.15376311353425548,14,0.9773913043478261,0,0,0,50,0.9147826086956522,0,0,0
LTP302,17,1,5,PISTOL,1,0.8709762857158567,0.057481448690846926,113,0.8052173913043479,0,0,0,167,0.711304347826087,0,0,0
LTP302,17,1,6,STAPLE,1,0.8593457645032646,0.04489347684327175,219,0.6208695652173912,0,0,0,186,0.6782608695652175,0,0,0
LTP302,17,1,7,CYCLONE,1,0.8729724573542414,-0.05000986994950105,112,0.8069565217391305,0,0,0,385,0.3321739130434782,0,0,0
LTP302,17,1,8,HEDGE,1,0.8421629093372656,-0.01247563289107489,334,0.4208695652173913,0,0,0,298,0.48347826086956525,0,0,0
LTP302,17,1,9,PUDDLE,1,0.8857289327513254,-0.02063386072488445,43,0.9269565217391305,0,0,0,321,0.4434782608695652,0,0,0
LTP302,17,1,10,NEUTRON,0,0.887526165760454,-0.023286321432746393,33,0.9443478260869566,0,0,0,313,0.45739130434782604,0,0,0
LTP302,17,1,11,ATOM,0,0.7829037462172131,0.06896180543382836,552,0.04173913043478261,0,0,0,135,0.7669565217391304,0,0,0
LTP302,17,1,12,PANTHER,0,0.8533126875291426,0.03377054309666485,268,0.5356521739130435,0,0,0,189,0.6730434782608696,0,0,0
LTP302,17,1,13,BIKE,0,0.8704282463863033,0.074110687153347,135,0.7669565217391304,0,0,0,136,0.7652173913043478,0,0,0
LTP302,17,1,14,SWAMP,0,0.7585112301844904,-0.1308097391799438,573,0.00521739130434784,0,0,0,509,0.11652173913043473,0,0,0
LTP302,17,1,15,STAR,0,0.8444825870327156,0.16463821174582366,323,0.43999999999999995,0,0,0,49,0.9165217391304348,0,0,0
LTP302,17,1,16,SOFTBALL,0,0.8750071675575763,0.17443090109292794,99,0.8295652173913044,0,0,0,32,0.9460869565217391,0,0,0
LTP302,17,1,17,DOUGHNUT,0,0.8829612268593925,-0.0408563419691091,59,0.8991304347826087,0,0,0,367,0.36347826086956525,0,0,0
LTP302,17,1,18,LILY,0,0.8066874215281581,0.006794390564781612,508,0.11826086956521742,0,0,0,266,0.5391304347826087,0,0,0
LTP302,17,1,19,HEART,0,0.8766710140320673,0.1261794543887394,88,0.8486956521739131,0,0,0,56,0.9043478260869565,0,0,0
LTP302,17,1,20,TEMPLE,0,0.8803066927467001,0.07798666411012681,66,0.8869565217391304,0,0,0,122,0.7895652173913044,0,0,0
LTP302,17,1,21,FARMER,0,0.8067050903530972,-0.08724429468794605,496,0.13913043478260867,0,0,0,450,0.21913043478260874,0,0,0
LTP302,17,1,22,GLASS,0,0.8438144950765788,-0.13988748220279287,331,0.4260869565217391,0,0,0,529,0.08173913043478265,0,0,0
LTP302,17,1,23,CATCHER,0,0.8689940013063151,-0.034504532619671464,147,0.7460869565217392,0,0,0,375,0.3495652173913043,0,0,0
LTP302,17,1,24,BODY,0,0.7528748709660409,0.07972651460604761,575,0.0017391304347825765,0,0,0,140,0.7582608695652174,0,0,0
LTP302,17,2,1,IDOL,0,0.780001833149506,-0.1960300377205687,557,0.03304347826086962,0,0,0,565,0.019130434782608674,0,0,0
LTP302,17,2,2,POPCORN,0,0.832695271070042,-0.0781927356934971,419,0.2730434782608696,0,0,0,428,0.2573913043478261,0,0,0
LTP302,17,2,3,PARTNER,0,0.8456510210419916,-0.02991062293218661,350,0.3930434782608696,0,0,0,370,0.3582608695652174,0,0,0
LTP302,17,2,4,BLOUSE,0,0.8728622549469153,-0.038930387048673194,152,0.7373913043478261,0,0,0,387,0.32869565217391306,0,0,0
LTP302,17,2,5,DRESS,0,0.8616484957541499,-0.14950657265354936,228,0.6052173913043478,0,0,0,545,0.05391304347826087,0,0,0
LTP302,17,2,6,GRILL,1,0.8654645934313849,-0.09419967245885974,198,0.6573913043478261,0,0,0,493,0.1443478260869565,0,0,0
LTP302,17,2,7,GREASE,1,0.8576158894496105,-0.020669611077449145,260,0.5495652173913044,0,0,0,337,0.41565217391304343,0,0,0
LTP302,17,2,8,JAPAN,1,0.7901337127626086,-0.03589687727977101,529,0.08173913043478265,0,0,0,349,0.3947826086956522,0,0,0
LTP302,17,2,9,ASIA,1,0.7870635030066396,-0.050310296651485155,539,0.06434782608695655,0,0,0,390,0.3234782608695652,0,0,0
LTP302,17,2,10,POSTAGE,0,0.863047981059044,-0.056766913992950946,222,0.6156521739130435,0,0,0,387,0.32869565217391306,0,0,0
LTP302,17,2,11,MARKER,0,0.8642682486462666,-0.09086511187942241,218,0.6226086956521739,0,0,0,470,0.18434782608695655,0,0,0
LTP302,17,2,12,PRINCESS,0,0.8821613820504927,0.07529976347672228,57,0.9026086956521739,0,0,0,112,0.8069565217391305,0,0,0
LTP302,17,2,13,COURSE,0,0.8381052928611276,0.13392637945277477,407,0.29391304347826086,0,0,0,56,0.9043478260869565,0,0,0
LTP302,17,2,14,JELLO,0,0.8659996119374536,0.09073181643061348,199,0.6556521739130434,0,0,0,96,0.8347826086956522,0,0,0
LTP302,17,2,15,SPARROW,0,0.8335944247638537,-0.03470129445816996,427,0.25913043478260867,0,0,0,369,0.36,0,0,0
LTP302,17,2,16,CRITIC,0,0.818432927061829,0.03876706446820068,480,0.16695652173913045,0,0,0,210,0.6365217391304347,0,0,0
LTP302,17,2,17,COUNTRY,0,0.834243368684602,-0.04488961698036487,427,0.25913043478260867,0,0,0,383,0.3356521739130435,0,0,0
LTP302,17,2,18,FLESH,1,0.838677919392923,-0.08353637157213763,403,0.3008695652173913,0,0,0,439,0.23826086956521741,0,0,0
LTP302,17,2,19,LACE,1,0.8173779443081364,0.02076268558211242,481,0.16521739130434787,0,0,0,248,0.5704347826086957,0,0,0
