trial_row_index,word,peers_row_index,matched,embedding_l2_norm
0,APRON,8,True,2077.204833984375
1,FOOT,185,True,2371.87353515625
2,OYSTER,343,True,2040.380859375
3,TORTOISE,522,True,2137.429931640625
4,PISTOL,378,True,2160.24755859375
5,STAPLE,488,True,1966.3411865234375
6,CYCLONE,137,True,2135.98388671875
7,HEDGE,231,True,2135.272216796875
8,PUDDLE,404,True,2146.982666015625
9,NEUTRON,327,True,2086.21044921875
10,ATOM,13,True,2159.95166015625
11,PANTHER,350,True,2063.16162109375
12,BIKE,34,True,2385.489501953125
13,SWAMP,505,True,2278.80712890625
14,STAR,489,True,2306.537109375
15,SOFTBALL,476,True,2061.21240234375
16,DOUGHNUT,152,True,2047.844482421875
17,LILY,284,True,2252.6123046875
18,HEART,230,True,2274.523681640625
19,TEMPLE,514,True,2228.445068359375
20,FARMER,170,True,2047.8074951171875
21,GLASS,209,True,2269.481689453125
22,CATCHER,79,True,2158.154296875
23,BODY,44,True,2417.588623046875
24,IDOL,247,True,2167.331298828125
25,POPCORN,392,True,2019.436767578125
26,PARTNER,355,True,2278.56982421875
27,BLOUSE,41,True,2095.31982421875
28,DRESS,155,True,2274.642578125
29,GRILL,217,True,2197.587890625
30,GREASE,216,True,2158.63037109375
31,JAPAN,253,True,2442.460693359375
32,ASIA,11,True,2312.27001953125
33,POSTAGE,396,True,2025.603271484375
34,MARKER,302,True,2049.9228515625
35,PRINCESS,401,True,2226.93359375
36,COURSE,120,True,2362.967041015625
37,JELLO,255,True,2028.4788818359375
38,SPARROW,478,True,2169.516845703125
39,CRITIC,130,True,2102.7666015625
40,COUNTRY,118,True,2265.623046875
41,FLESH,181,True,2153.181396484375
42,LACE,270,True,2234.893310546875
43,SEAGULL,446,True,2094.89599609375
44,ACTRESS,1,True,1939.72705078125
45,BARREL,26,True,2114.33544921875
46,PUDDING,403,True,2018.783935546875
47,TYPIST,541,True,2158.7080078125
48,VICTIM,550,True,2204.436767578125
49,JUDGE,258,True,2304.52294921875
50,JUGGLER,259,True,2191.60205078125
51,BULLET,61,True,2121.609375
52,MONEY,317,True,2268.055419921875
53,FLOWER,183,True,2115.427001953125
54,BELLY,33,True,2187.914794921875
55,TURTLE,536,True,2184.8876953125
56,CONVICT,111,True,2229.25048828125
57,ULCER,542,True,1926.123779296875
58,CELLAR,82,True,2155.318603515625
59,DAISY,138,True,2177.9541015625
60,FOOTBALL,186,True,2091.77197265625
61,TUNNEL,533,True,2146.089599609375
62,BOYFRIEND,47,True,2074.873779296875
63,YARN,572,True,2215.840576171875
64,PLIERS,386,True,1872.3909912109375
65,WRENCH,568,True,2125.12646484375
66,COCKTAIL,100,True,2121.46240234375
67,HARP,226,True,1984.26513671875
68,CORAL,114,True,2366.382080078125
69,OZONE,344,True,1998.9564208984375
70,PALACE,349,True,2257.141845703125
71,ROCKET,426,True,2172.906005859375
72,ORCHID,338,True,2170.515380859375
73,PIZZA,380,True,2134.185546875
74,HOOK,238,True,2139.807373046875
75,COD,102,True,2209.832275390625
76,REPORT,420,True,2379.413818359375
77,EUROPE,167,True,2393.386474609375
78,FLAG,177,True,2375.420166015625
79,PRIMATE,399,True,2142.72314453125
80,SAUSAGE,436,True,2125.38720703125
81,GLOBE,210,True,2111.462646484375
82,ACTOR,0,True,2337.7880859375
83,PEDAL,365,True,2023.0467529296875
84,MISSILE,315,True,2243.876708984375
85,THREAD,517,True,2054.050048828125
86,HOSTESS,241,True,2249.6484375
87,PLAZA,385,True,2341.1650390625
88,CREATURE,126,True,2170.656005859375
89,LEOPARD,281,True,2016.3319091796875
90,FRIEND,196,True,2388.78955078125
91,BEAKER,29,True,2055.74169921875
92,DRUG,160,True,2321.187744140625
93,OFFICE,333,True,2206.049072265625
94,FIREPLACE,176,True,2125.58935546875
95,TURNIP,535,True,2004.3941650390625
