subject,session,trial,serialpos,word,item_num,onset,sample,recalled,eeg_file,event_file
LTP269,12,1,1,JELLY,755,288.232,144116,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,2,SHORTCAKE,1292,290.8,145400,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,3,TROMBONE,1508,293.23,146615,0,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,4,GUITAR,670,295.782,147891,0,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,5,FARMER,553,298.2,149100,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,6,PICNIC,1060,300.834,150417,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,7,MAILMAN,858,303.442,151721,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,8,PLUTO,1092,306.09,153045,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,9,SOFTBALL,1343,308.858,154429,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
LTP269,12,1,10,UMPIRE,1535,311.366,155683,1,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP269/ses-12/eeg/sub-LTP269_ses-12_task-ltpFR2_events.tsv
