mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	n/a	n/a	0	0	0
13113	START	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
13145	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	12	3	6	3
15915	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	10	1	7	2
17883	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	11	2	8	1
19217	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	14	4	9	1
20903	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	8	3	3	2
25113	STOP	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
54147	DISTRACTOR	n/a	LTP299	ltpFR2	6	1	n/a	n/a	n/a	n/a	0	0	0
54148	START	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
54181	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	14	6	5	3
56133	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	6	1	1	4
57602	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	17	1	9	7
59369	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	14	8	5	1
61287	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	12	2	8	2
62806	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	12	3	3	6
64306	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	5	2	2	1
65324	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	18	9	3	6
67643	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	21	4	9	8
70211	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	21	9	3	9
72631	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	9	6	1	2
74432	PROB	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	16	9	3	4
78148	STOP	n/a	LTP299	ltpFR2	6	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
79253	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	DIME	466	n/a	n/a	0	0	0
81873	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	SCISSORS	1250	n/a	n/a	0	0	0
84658	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	MISSILE	900	n/a	n/a	0	0	0
87360	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	LETTUCE	814	n/a	n/a	0	0	0
90196	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	NAPKIN	937	n/a	n/a	0	0	0
92749	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	LAMP	798	n/a	n/a	0	0	0
95433	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	BRANDY	169	n/a	n/a	0	0	0
98069	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	GIRL	637	n/a	n/a	0	0	0
100572	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	PARTNER	1017	n/a	n/a	0	0	0
103023	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	BANQUET	86	n/a	n/a	0	0	0
105593	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	WAITER	1580	n/a	n/a	0	0	0
108044	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	6	1	PERCH	1048	n/a	n/a	0	0	0
