mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	n/a	n/a	0	0	0
263346	SESS_START	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	n/a	n/a	0	0	0
276494	START	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
276525	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	19	5	6	8
278392	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	18	6	9	3
279527	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	14	2	8	4
280628	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	20	8	4	8
281812	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	13	2	2	9
283397	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	19	6	8	5
284798	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	14	7	2	5
285932	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	17	6	7	4
287377	STOP	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
322682	DISTRACTOR	n/a	LTP293	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
322682	START	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
322715	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	1	7	5
323965	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	4	7	5
325383	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	23	9	8	6
327118	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	6	6	4
328269	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	5	1	7
329504	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	22	9	6	7
330705	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	12	3	7	2
331772	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	7	3	6
332790	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	2	3	8
334007	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	19	1	9	9
335442	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	20	6	5	9
337628	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	10	7	2	1
338928	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	5	1	9
340129	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	3	9	3
341414	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	18	2	7	9
342398	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	1	7	7
343432	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	14	3	4	7
344501	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	6	8	2
345677	STOP	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
347869	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	AUTHOR	61	n/a	n/a	0	0	0
350639	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	JOURNAL	760	n/a	n/a	0	0	0
353174	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	VIKING	1565	n/a	n/a	0	0	0
356010	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CRAB	397	n/a	n/a	0	0	0
358829	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	YACHT	1629	n/a	n/a	0	0	0
361414	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASKET	255	n/a	n/a	0	0	0
363866	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PARTNER	1017	n/a	n/a	0	0	0
366319	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SHELTER	1282	n/a	n/a	0	0	0
368754	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	KEEPER	769	n/a	n/a	0	0	0
371524	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	RAFT	1159	n/a	n/a	0	0	0
374342	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SCALPEL	1243	n/a	n/a	0	0	0
376828	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SERVER	1272	n/a	n/a	0	0	0
379447	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	EMPIRE	530	n/a	n/a	0	0	0
382266	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PADDLE	1000	n/a	n/a	0	0	0
384868	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	FUNGUS	614	n/a	n/a	0	0	0
387688	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	TOASTER	1472	n/a	n/a	0	0	0
390206	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SUITCASE	1403	n/a	n/a	0	0	0
392742	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CHEST	295	n/a	n/a	0	0	0
395444	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PALACE	1006	n/a	n/a	0	0	0
398213	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PATIENT	1024	n/a	n/a	0	0	0
400949	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	GROUND	666	n/a	n/a	0	0	0
403401	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	COFFEE	341	n/a	n/a	0	0	0
406203	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASHIER	254	n/a	n/a	0	0	0
409006	WORD	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	FLAG	573	n/a	n/a	0	0	0
410625	START	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
411587	DISTRACTOR	n/a	LTP293	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
411592	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	18	6	4	8
412959	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	13	2	2	9
414344	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	17	1	8	8
415546	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	10	5	3	2
417246	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	24	9	7	9
419398	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	24	8	8	8
420433	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	13	7	4	2
421734	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	15	4	3	8
422735	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	11	5	3	3
423986	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	18	6	6	6
426187	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	21	5	9	7
427939	PROB	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	19	7	7	5
