name	x	y	z
E1	0.06088894233107567	0.06807590433321797	0.019343274288534135
E2	0.055145565420389175	0.0848735142408103	0.04825463364339286
E3	0.039489343762397766	0.09837760464630926	0.07627299558634729
E4	0.02895483933389187	0.0957410593500935	0.09748085580031726
E5	0.014515141025185585	0.08250999081106444	0.11911460943688887
E6	-0.0007422101334668696	0.06365800272464098	0.1334631256362142
E7	-0.013129035010933876	0.04018425330961909	0.14272607115641645
E8	n/a	n/a	n/a
E9	0.026540858671069145	0.10830615776042987	0.0533920968849729
E10	0.01730380952358246	0.10930088144865499	0.0760075417090785
E11	-0.0021128703374415636	0.10355115972707093	0.09695274709249638
E12	-0.017242783680558205	0.0815248237888008	0.1192304381205477
E13	-0.02670094184577465	0.056550756524229695	0.131383734816661
E14	0.011062397621572018	0.1110889538905433	0.030911309297201067
E15	-0.0024608607636764646	0.10993023162744237	0.05579893019345458
E16	-0.002471093088388443	0.11247598695517991	0.07465880607262551
E17	-0.002494720392860472	0.10655720958703396	0.01782902688123475
E18	-0.022000793367624283	0.10808153601038603	0.07615085042378286
E19	-0.03263213112950325	0.09383046505429482	0.09770544259009148
E20	-0.04223298281431198	0.07343173630322417	0.11091933764568712
E21	-0.01621099654585123	0.11024287822417944	0.031010709015135335
E22	-0.03132295608520508	0.10651108095354161	0.05360316438455545
E23	-0.043464113026857376	0.09580419645701554	0.07657551748320943
E24	-0.04932302236557007	0.08041104379492017	0.09281874285987482
E25	n/a	n/a	n/a
E26	-0.058456819504499435	0.08134932437293996	0.048668941310986064
E27	-0.06224983558058739	0.07167273413668263	0.07746342144608356
E28	-0.06037118285894394	0.060639348484375785	0.09844876642695435
E29	-0.05147450044751167	0.047892091775376094	0.11836899039331497
E30	-0.0394526869058609	0.03177989415848993	0.13508076111625442
E31	-0.020228656008839607	0.01628589478640082	0.14744666539398513
E32	-0.06335854157805443	0.0642213581502668	0.019796356177209845
E33	-0.0694715827703476	0.05254215504384032	0.04552606583600083
E34	-0.07366542518138885	0.044271216735675044	0.07691766890775424
E35	-0.06879263371229172	0.032167724105108216	0.10370332254941506
E36	-0.058361753821372986	0.022137405661491045	0.12293163429714563
E37	-0.040924087166786194	0.005561015404730703	0.14026220349746663
E38	-0.0709029883146286	0.04250930492447612	0.014445483305844053
E39	-0.07687585055828094	0.016657619746889476	0.04488465016911526
E40	-0.0787753313779831	0.012444468119460601	0.0783037162657351
E41	-0.07328934222459793	0.00744242281655276	0.10565597137539154
E42	-0.06259847059845924	-0.006479600400697852	0.12285329906470974
E43	-0.07014710456132889	0.026972100973750864	-0.003970873567424454
E44	-0.07323204725980759	0.01731269991691966	0.015810247957739353
E45	-0.07718031108379364	-0.011868574991422909	0.05166675435753634
E46	-0.07714375108480453	-0.011937586924702946	0.08437055403203494
E47	-0.0707445740699768	-0.016632794922293796	0.10448598730664929
E48	-0.06378941982984543	0.021116693869812405	-0.032213273735952896
E49	-0.06709937006235123	0.004557040664499273	-0.009646750751336017
E50	-0.07085573673248291	-0.034026303071987014	0.05910742429258117
E51	-0.06825412809848785	-0.036311009851586355	0.09177597087750619
E52	-0.060527924448251724	-0.030925589566178142	0.11493935196571745
E53	-0.04311826080083847	-0.02246860902593433	0.13574780331197842
E54	-0.022697797045111656	-0.013380318278989202	0.14772828880478925
E55	0.0012435030657798052	0.001825015475184738	0.15196765426814593
E56	-0.06481719762086868	-0.025307077500891853	-0.0007428988785393165
E57	-0.06876063346862793	-0.035085757255584334	0.029336555477026266
E58	-0.062251318246126175	-0.05176153909270594	0.06469993102644164
E59	-0.05313389375805855	-0.05432851186050292	0.09687536191299315
E60	-0.0416049100458622	-0.04638982685361776	0.12158929951932493
E61	-0.022792303934693336	-0.03708809962488235	0.13863978695820497
E62	0.00199501751922071	-0.022833504268216072	0.1482745132163978
E63	-0.055164631456136703	-0.044590429831803564	0.0022474564834532307
E64	-0.05542053282260895	-0.0571906915176199	0.03354789171818459
