onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
20.406	n/a	SESS_START	10203	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	n/a	n/a	0	0	0
35.656	n/a	START	17828	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
35.684	n/a	PROB	17842	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	16	7	3	6
37.302	n/a	PROB	18651	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	10	3	4	3
38.452	n/a	PROB	19226	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	2	5	8
39.638	n/a	PROB	19819	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	20	6	5	9
40.972	n/a	PROB	20486	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	18	4	8	6
42.19	n/a	PROB	21095	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	21	7	6	8
43.81	n/a	PROB	21905	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	14	8	5	1
44.976	n/a	PROB	22488	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	9	5	1
45.91	n/a	PROB	22955	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	15	8	3	4
47.08	n/a	STOP	23540	n/a	LTP293	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
77.402	n/a	WORD	38701	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	CATTLE	261	n/a	n/a	0	0	0
80.14	n/a	WORD	40070	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	LIGHTNING	820	n/a	n/a	0	0	0
82.856	n/a	WORD	41428	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	GYMNAST	675	n/a	n/a	0	0	0
85.608	n/a	WORD	42804	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	JEANS	752	n/a	n/a	0	0	0
88.276	n/a	WORD	44138	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	OX	994	n/a	n/a	0	0	0
90.884	n/a	WORD	45442	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	TABLET	1427	n/a	n/a	0	0	0
93.398	n/a	WORD	46699	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	22	1	DRESSER	496	n/a	n/a	0	0	0
