onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
241.964	n/a	SESS_START	120982	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	n/a	n/a	0	0	0
256.228	n/a	START	128114	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
256.254	n/a	PROB	128127	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	11	2	3	6
257.328	n/a	PROB	128664	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	7	3	3	1
258.346	n/a	PROB	129173	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	15	4	5	6
259.864	n/a	PROB	129932	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	20	8	3	9
261.41	n/a	PROB	130705	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	18	6	7	5
262.698	n/a	PROB	131349	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	19	4	8	7
263.944	n/a	PROB	131972	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	15	8	5	2
265.312	n/a	STOP	132656	n/a	LTP269	ltpFR2	20	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
292.512	n/a	WORD	146256	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SWIMMER	1420	n/a	n/a	0	0	0
294.674	n/a	WORD	147337	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	WHISTLE	1606	n/a	n/a	0	0	0
296.864	n/a	WORD	148432	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SCULPTURE	1258	n/a	n/a	0	0	0
298.984	n/a	WORD	149492	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	EXPERT	543	n/a	n/a	0	0	0
301.204	n/a	WORD	150602	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	SCISSORS	1250	n/a	n/a	0	0	0
303.48	n/a	WORD	151740	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	20	1	CASHIER	254	n/a	n/a	0	0	0
