trial_row_index,word,peers_row_index,matched,embedding_l2_norm
0,DIME,145,True,2148.8857421875
1,SCISSORS,441,True,2233.493896484375
2,MISSILE,315,True,2243.876708984375
3,LETTUCE,282,True,1983.406982421875
4,NAPKIN,325,True,2000.27490234375
5,LAMP,275,True,2224.991455078125
6,BRANDY,51,True,2071.30517578125
7,GIRL,208,True,2165.50634765625
8,PARTNER,355,True,2278.56982421875
9,BANQUET,24,True,2069.476806640625
10,WAITER,554,True,2182.0107421875
11,PERCH,368,True,2117.72998046875
12,ROBIN,424,True,2077.824462890625
13,PEDAL,365,True,2023.0467529296875
14,TRANSPLANT,525,True,2129.1630859375
15,CAPTIVE,73,True,2074.361328125
16,STREAM,495,True,2299.386962890625
17,COCKTAIL,100,True,2121.46240234375
18,LUMBER,294,True,1991.405029296875
19,BULLET,61,True,2121.609375
20,INMATE,250,True,1922.1785888671875
21,TOASTER,520,True,2048.766357421875
22,MARSH,306,True,2135.9892578125
23,VICTIM,550,True,2204.436767578125
24,CROWN,132,True,2130.68896484375
25,PALACE,349,True,2257.141845703125
26,LIZARD,288,True,1999.8671875
27,DUSTPAN,162,True,1909.5665283203125
28,JEANS,254,True,2254.1640625
29,MISTER,316,True,2380.8115234375
30,BINDER,35,True,2110.469970703125
31,BRIEFCASE,54,True,2002.39501953125
32,SHORTS,456,True,1994.00830078125
33,SMOG,471,True,2099.83984375
34,MARKER,302,True,2049.9228515625
35,PIGEON,374,True,2176.654541015625
36,SHOVEL,458,True,1935.4229736328125
37,EAGLE,163,True,2360.13330078125
38,DENIM,143,True,2131.993408203125
39,PLAID,381,True,2223.8818359375
40,CLOUD,98,True,2193.97998046875
41,DRESSER,156,True,2136.4423828125
42,STUDENT,496,True,2280.460205078125
43,HOOK,238,True,2139.807373046875
44,SWITCH,507,True,2233.099609375
45,TURKEY,534,True,2137.221435546875
46,BLOUSE,41,True,2095.31982421875
47,ZIPPER,575,True,2337.90380859375
48,ONION,336,True,2032.3697509765625
49,CLOTHES,97,True,2133.94970703125
50,BRACES,48,True,2141.16845703125
51,CHILD,88,True,2287.80712890625
52,SHORTCAKE,455,True,1885.3546142578125
53,DONOR,150,True,2238.97509765625
54,SPIDER,480,True,2145.919677734375
55,SHERIFF,453,True,2178.328369140625
56,BUREAU,63,True,2235.600830078125
57,PEACH,361,True,2050.108154296875
58,SOFTBALL,476,True,2061.21240234375
59,GAZELLE,205,True,1913.7159423828125
60,LAPEL,276,True,2017.671630859375
61,LOFT,290,True,2175.555908203125
62,DORM,151,True,2192.24853515625
63,DRILL,157,True,2234.164306640625
64,CREATURE,126,True,2170.656005859375
65,BABY,16,True,2372.4990234375
66,TUBA,532,True,2064.471435546875
67,FIDDLE,172,True,2155.1181640625
68,SLIME,468,True,2168.412109375
69,CITRUS,92,True,1974.06396484375
70,SPACE,477,True,2484.660888671875
71,KNIFE,268,True,2085.61572265625
72,TRACTOR,524,True,2003.404052734375
73,OINTMENT,334,True,2052.006103515625
74,FRANCE,192,True,2340.466796875
75,BLADE,38,True,2304.1533203125
76,PORK,393,True,1920.182861328125
77,KEEPER,262,True,2139.084716796875
78,PEBBLE,363,True,2197.20263671875
79,MOTOR,321,True,2387.320068359375
80,LASER,277,True,2274.555908203125
81,STONE,493,True,2366.747802734375
82,JELLO,255,True,2028.4788818359375
83,TURTLE,536,True,2184.8876953125
84,RABBIT,410,True,2345.411865234375
85,CUPBOARD,134,True,2042.450927734375
86,CARROT,75,True,2264.70947265625
87,BUNNY,62,True,2128.6123046875
88,CAFE,68,True,2348.2275390625
89,TRENCH,527,True,1994.334228515625
90,CREVICE,127,True,2100.122802734375
91,STAKE,485,True,2160.653076171875
92,MATCH,308,True,2228.026123046875
93,BUGGY,60,True,2032.044189453125
94,SUNSET,501,True,2239.706787109375
95,FRIEND,196,True,2388.78955078125
96,SKETCH,464,True,2135.302734375
97,PORTRAIT,394,True,2052.27001953125
98,SCULPTURE,444,True,2004.675048828125
99,ORANGE,337,True,2205.87939453125
100,DANCER,139,True,2124.623779296875
101,WASHER,557,True,2156.676025390625
102,TILE,519,True,1935.7318115234375
103,COOK,112,True,2474.9326171875
104,KITCHEN,265,True,2266.835693359375
105,COTTAGE,116,True,2308.98779296875
106,BLUEPRINT,42,True,2061.969970703125
107,HATCHET,227,True,2005.1395263671875
108,LAVA,278,True,2315.777099609375
109,COMET,107,True,2177.762939453125
110,WIDOW,561,True,2268.732421875
111,PUDDING,403,True,2018.783935546875
112,FLASK,179,True,2047.5311279296875
113,PADDING,346,True,1956.433837890625
114,CUSTARD,136,True,1999.4862060546875
115,LONDON,291,True,2302.395263671875
116,ROD,427,True,2150.447509765625
117,ROBOT,425,True,2209.306884765625
118,COUNTY,119,True,2333.77197265625
119,GOBLIN,212,True,1903.3509521484375
120,PIGMENT,375,True,1931.458251953125
121,BACON,18,True,2454.370849609375
122,FRUIT,197,True,2242.13037109375
123,GRAPE,213,True,2273.95751953125
124,CANAL,70,True,2268.649169921875
125,HIKER,235,True,1923.288818359375
126,PLAYGROUND,384,True,2052.991455078125
127,SERVER,449,True,2136.355224609375
128,POISON,390,True,2148.69189453125
129,SEAGULL,446,True,2094.89599609375
130,BUCKET,58,True,2215.346923828125
131,RACKET,411,True,2147.947265625
132,APRON,8,True,2077.204833984375
133,PLATE,383,True,2200.24609375
134,MASK,307,True,2272.41357421875
135,BUBBLE,57,True,2055.625244140625
136,JURY,261,True,2119.428955078125
137,BANJO,21,True,2239.687744140625
138,WHISTLE,560,True,2084.89453125
139,FINGER,174,True,2129.563720703125
