subject,session,trial,serialpos,word,recalled,raw_cosine,centered_cosine,true_word_rank,true_word_percentile,top1_correct,top5_correct,top10_correct,centered_true_word_rank,centered_true_word_percentile,centered_top1_correct,centered_top5_correct,centered_top10_correct
LTP299,6,1,1,DIME,1,0.8367402744036367,-0.017196760863702528,378,0.3443478260869566,0,0,0,343,0.40521739130434786,0,0,0
LTP299,6,1,2,SCISSORS,1,0.8113919697283256,-0.11879675443564504,490,0.14956521739130435,0,0,0,540,0.06260869565217386,0,0,0
LTP299,6,1,3,MISSILE,1,0.8441347733378952,0.027393389265623173,339,0.4121739130434783,0,0,0,205,0.6452173913043479,0,0,0
LTP299,6,1,4,LETTUCE,1,0.8763131034300642,0.0038579613483534308,92,0.8417391304347825,0,0,0,279,0.5165217391304349,0,0,0
LTP299,6,1,5,NAPKIN,1,0.8222713397353361,-0.11311039679822607,459,0.20347826086956522,0,0,0,508,0.11826086956521742,0,0,0
LTP299,6,1,6,LAMP,0,0.8282459487628528,-0.10270384286478054,434,0.2469565217391304,0,0,0,504,0.12521739130434784,0,0,0
LTP299,6,1,7,BRANDY,1,0.8666238226817979,-0.07067441209452344,164,0.7165217391304348,0,0,0,449,0.22086956521739132,0,0,0
LTP299,6,1,8,GIRL,1,0.86542268662794,-0.051656302397922474,174,0.6991304347826087,0,0,0,408,0.2921739130434783,0,0,0
LTP299,6,1,9,PARTNER,0,0.8447029530414666,-0.017257092223320534,339,0.4121739130434783,0,0,0,337,0.41565217391304343,0,0,0
LTP299,6,1,10,BANQUET,1,0.8786904645503127,-0.03644566499969218,81,0.8608695652173913,0,0,0,375,0.3495652173913043,0,0,0
LTP299,6,1,11,WAITER,1,0.8471297134480915,-0.0046458742124509365,318,0.44869565217391305,0,0,0,290,0.4973913043478261,0,0,0
LTP299,6,1,12,PERCH,1,0.8805165668639787,-0.051302641760488654,65,0.888695652173913,0,0,0,412,0.28521739130434787,0,0,0
LTP299,6,1,13,ROBIN,1,0.8206854262249017,-0.09619241729757129,467,0.18956521739130439,0,0,0,484,0.16000000000000003,0,0,0
LTP299,6,1,14,PEDAL,0,0.8536924378159337,-0.025033375839824002,269,0.5339130434782609,0,0,0,353,0.38782608695652177,0,0,0
LTP299,6,1,15,TRANSPLANT,1,0.7941918420602847,0.06106536758956471,525,0.08869565217391306,0,0,0,138,0.7617391304347826,0,0,0
LTP299,6,1,16,CAPTIVE,0,0.8406323014969768,0.13374679632751488,362,0.37217391304347824,0,0,0,56,0.9043478260869565,0,0,0
LTP299,6,1,17,STREAM,1,0.8781369779263901,-0.04538669245558138,83,0.8573913043478261,0,0,0,398,0.3095652173913044,0,0,0
LTP299,6,1,18,COCKTAIL,0,0.8522421335214051,-0.07137733735367527,284,0.5078260869565218,0,0,0,442,0.23304347826086957,0,0,0
