onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
327.106	n/a	SESS_START	163553	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	n/a	n/a	0	0	0
345.138	n/a	START	172569	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
345.156	n/a	PROB	172578	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	11	6	4	1
347.544	n/a	PROB	173772	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	19	8	2	9
349.552	n/a	PROB	174776	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	8	1	2	5
352.09	n/a	PROB	176045	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	9	2	3	4
353.954	n/a	PROB	176977	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	21	3	9	9
356.47	n/a	STOP	178235	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
386.264	n/a	DISTRACTOR	193132	n/a	LTP299	ltpFR2	2	1	n/a	n/a	n/a	n/a	0	0	0
386.264	n/a	START	193132	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
386.278	n/a	PROB	193139	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	21	5	8	9
389.64	n/a	PROB	194820	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	4	9	1
391.584	n/a	PROB	195792	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	20	6	7	7
393.852	n/a	PROB	196926	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	6	5	3
396.42	n/a	PROB	198210	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	13	3	2	8
397.962	n/a	PROB	198981	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	16	7	1	8
399.764	n/a	PROB	199882	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	9	3	2
401.772	n/a	PROB	200886	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	20	8	6	6
403.936	n/a	PROB	201968	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	11	3	7	1
405.592	n/a	PROB	202796	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	21	6	8	7
408.258	n/a	STOP	204129	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
410.478	n/a	WORD	205239	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	TROMBONE	1508	n/a	n/a	0	0	0
412.936	n/a	WORD	206468	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FIDDLE	561	n/a	n/a	0	0	0
415.506	n/a	WORD	207753	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	PARENT	1013	n/a	n/a	0	0	0
417.856	n/a	WORD	208928	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	CEILING	265	n/a	n/a	0	0	0
420.2	n/a	WORD	210100	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SMOG	1330	n/a	n/a	0	0	0
422.884	n/a	WORD	211442	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SCRIBBLE	1256	n/a	n/a	0	0	0
425.42	n/a	WORD	212710	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SUSPECT	1415	n/a	n/a	0	0	0
427.914	n/a	WORD	213957	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	HERO	706	n/a	n/a	0	0	0
430.482	n/a	WORD	215241	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	NURSE	963	n/a	n/a	0	0	0
433.102	n/a	WORD	216551	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	GIRL	637	n/a	n/a	0	0	0
435.592	n/a	WORD	217796	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	RUST	1219	n/a	n/a	0	0	0
437.938	n/a	WORD	218969	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FLIPPER	580	n/a	n/a	0	0	0
440.382	n/a	WORD	220191	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FLEET	578	n/a	n/a	0	0	0
442.758	n/a	WORD	221379	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	GUARD	667	n/a	n/a	0	0	0
445.314	n/a	WORD	222657	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	TAXI	1438	n/a	n/a	0	0	0
448.014	n/a	WORD	224007	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FRECKLE	602	n/a	n/a	0	0	0
450.618	n/a	WORD	225309	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SUMMIT	1405	n/a	n/a	0	0	0
453.172	n/a	WORD	226586	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	LIGHTNING	820	n/a	n/a	0	0	0
455.84	n/a	WORD	227920	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	CLOUD	328	n/a	n/a	0	0	0
458.282	n/a	WORD	229141	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	KLEENEX	782	n/a	n/a	0	0	0
460.644	n/a	WORD	230322	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	RIFLE	1192	n/a	n/a	0	0	0
463.294	n/a	WORD	231647	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	BABY	64	n/a	n/a	0	0	0
465.848	n/a	WORD	232924	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	DOLPHIN	483	n/a	n/a	0	0	0
468.308	n/a	WORD	234154	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	PERFUME	1049	n/a	n/a	0	0	0
469.866	n/a	START	234933	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
470.988	n/a	DISTRACTOR	235494	n/a	LTP299	ltpFR2	2	1	n/a	n/a	n/a	n/a	0	0	0
470.992	n/a	PROB	235496	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	6	2	2	2
472.354	n/a	PROB	236177	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	11	3	4	4
475.118	n/a	PROB	237559	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	14	5	8	1
476.742	n/a	PROB	238371	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	10	6	1	3
478.832	n/a	PROB	239416	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	18	9	3	6
480.89	n/a	PROB	240445	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	13	1	6	6
482.528	n/a	PROB	241264	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	12	6	1	5
485.402	n/a	PROB	242701	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	6	1	4	1
486.85	n/a	PROB	243425	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	17	4	8	5
489.1	n/a	PROB	244550	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	19	8	4	7
492.986	n/a	STOP	246493	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
494.69	n/a	REC_START	247345	n/a	LTP299	ltpFR2	2	1	n/a	n/a	n/a	n/a	0	0	0
496.24	n/a	REC_WORD	248120	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	TROMBONE	1508	n/a	n/a	0	0	0
497.544	n/a	REC_WORD	248772	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FIDDLE	561	n/a	n/a	0	0	0
501.344	n/a	REC_WORD	250672	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	CEILING	265	n/a	n/a	0	0	0
502.828	n/a	REC_WORD	251414	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	RUST	1219	n/a	n/a	0	0	0
504.396	n/a	REC_WORD	252198	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	PARENT	1013	n/a	n/a	0	0	0
