onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
205.312	n/a	SESS_START	102656	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	n/a	n/a	0	0	0
216.55	n/a	START	108275	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
216.566	n/a	PROB	108283	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	14	7	6	1
218.282	n/a	PROB	109141	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	8	4	2	2
219.518	n/a	PROB	109759	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	12	4	2	6
220.786	n/a	PROB	110393	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	15	8	6	1
222.402	n/a	PROB	111201	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	26	9	9	8
224.356	n/a	PROB	112178	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	12	6	5	1
225.638	n/a	PROB	112819	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	10	4	3	3
228.078	n/a	STOP	114039	n/a	LTP302	ltpFR2	17	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
257.598	n/a	WORD	128799	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	APRON	35	n/a	n/a	0	0	0
260.108	n/a	WORD	130054	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	FOOT	590	n/a	n/a	0	0	0
262.594	n/a	WORD	131297	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	OYSTER	995	n/a	n/a	0	0	0
265.272	n/a	WORD	132636	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	TORTOISE	1486	n/a	n/a	0	0	0
267.74	n/a	WORD	133870	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PISTOL	1075	n/a	n/a	0	0	0
270.258	n/a	WORD	135129	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	STAPLE	1371	n/a	n/a	0	0	0
272.82	n/a	WORD	136410	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	CYCLONE	431	n/a	n/a	0	0	0
275.596	n/a	WORD	137798	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	HEDGE	699	n/a	n/a	0	0	0
278.282	n/a	WORD	139141	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PUDDLE	1140	n/a	n/a	0	0	0
280.7	n/a	WORD	140350	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	NEUTRON	947	n/a	n/a	0	0	0
283.4	n/a	WORD	141700	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	ATOM	55	n/a	n/a	0	0	0
286.152	n/a	WORD	143076	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	PANTHER	1009	n/a	n/a	0	0	0
288.604	n/a	WORD	144302	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	BIKE	125	n/a	n/a	0	0	0
291.352	n/a	WORD	145676	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	SWAMP	1416	n/a	n/a	0	0	0
294.036	n/a	WORD	147018	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	STAR	1373	n/a	n/a	0	0	0
296.606	n/a	WORD	148303	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	SOFTBALL	1343	n/a	n/a	0	0	0
299.214	n/a	WORD	149607	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	17	1	DOUGHNUT	490	n/a	n/a	0	0	0
