subject,session,trial,serialpos,word,recalled,raw_cosine,centered_cosine,true_word_rank,true_word_percentile,top1_correct,top5_correct,top10_correct,centered_true_word_rank,centered_true_word_percentile,centered_top1_correct,centered_top5_correct,centered_top10_correct
LTP303,22,1,1,PADDING,1,0.8613156429797073,0.016792611828327576,171,0.7043478260869565,0,0,0,235,0.5930434782608696,0,0,0
LTP303,22,1,2,CELLAR,1,0.8492803914437942,-0.12965037495323373,269,0.5339130434782609,0,0,0,537,0.0678260869565217,0,0,0
LTP303,22,1,3,HORNET,1,0.8537164112258399,-0.07408006937055052,229,0.6034782608695652,0,0,0,472,0.18086956521739128,0,0,0
LTP303,22,1,4,WASP,1,0.8109421573273705,-0.05867273786874437,463,0.1965217391304348,0,0,0,416,0.27826086956521734,0,0,0
LTP303,22,1,5,PLAYGROUND,1,0.8535233363573808,-0.0028026882969183166,251,0.5652173913043479,0,0,0,279,0.5165217391304349,0,0,0
LTP303,22,1,6,SIDEWALK,1,0.8664739251845419,-0.04244292672491837,155,0.7321739130434783,0,0,0,368,0.36173913043478256,0,0,0
LTP303,22,1,7,SEAGULL,1,0.8834418337504278,0.06374724525410716,40,0.9321739130434783,0,0,0,152,0.7373913043478261,0,0,0
LTP303,22,1,8,TABLE,1,0.8327470061930808,-0.06740149501146854,402,0.30260869565217396,0,0,0,417,0.27652173913043476,0,0,0
LTP303,22,1,9,SPONGE,1,0.8680088171660774,0.0895535614424134,149,0.7426086956521739,0,0,0,118,0.7965217391304348,0,0,0
LTP303,22,1,10,COSTUME,1,0.8728127026310414,0.09348754221761409,109,0.8121739130434783,0,0,0,109,0.8121739130434783,0,0,0
LTP303,22,1,11,POWDER,1,0.8389882419765293,0.11867085507295526,373,0.35304347826086957,0,0,0,80,0.8626086956521739,0,0,0
LTP303,22,1,12,TUTU,1,0.8068456390983647,0.13978264419825687,489,0.15130434782608693,0,0,0,64,0.8904347826086957,0,0,0
LTP303,22,1,13,GARBAGE,1,0.8808497205079105,0.041313009509856904,59,0.8991304347826087,0,0,0,202,0.6504347826086956,0,0,0
LTP303,22,1,14,PIANO,1,0.8560824058262317,0.10426882925631518,255,0.5582608695652174,0,0,0,104,0.8208695652173913,0,0,0
LTP303,22,1,15,BATHTUB,1,0.8619444476945833,0.2619743654309768,199,0.6556521739130434,0,0,0,7,0.9895652173913043,0,0,1
LTP303,22,1,16,CRAYON,1,0.8964323604997438,0.13090683757169766,11,0.9826086956521739,0,0,0,80,0.8626086956521739,0,0,0
LTP303,22,1,17,SLOPE,1,0.8549944677357885,-0.040348618152212176,256,0.5565217391304348,0,0,0,373,0.35304347826086957,0,0,0
LTP303,22,1,18,LAVA,1,0.7876511391790566,-0.06777364948184594,524,0.09043478260869564,0,0,0,421,0.26956521739130435,0,0,0
LTP303,22,1,19,QUARTER,1,0.8373513906966634,0.011705034632407824,370,0.3582608695652174,0,0,0,256,0.5565217391304348,0,0,0
LTP303,22,1,20,TUBA,1,0.8677481077229966,0.2810107284344557,155,0.7321739130434783,0,0,0,9,0.9860869565217392,0,0,1
LTP303,22,1,21,HOOK,1,0.8929741677251588,0.1360265414463518,19,0.9686956521739131,0,0,0,61,0.8956521739130435,0,0,0
LTP303,22,1,22,BOYFRIEND,1,0.8628912651399823,-0.050742232114119726,202,0.6504347826086956,0,0,0,400,0.3060869565217391,0,0,0
LTP303,22,1,23,HATCHET,1,0.8494600165132254,-0.017072224774745945,282,0.511304347826087,0,0,0,306,0.4695652173913043,0,0,0
LTP303,22,1,24,KNIFE,1,0.826551538194055,0.0649121373875241,431,0.25217391304347825,0,0,0,151,0.7391304347826086,0,0,0
LTP303,22,2,1,MEAT,1,0.8519760452670567,-0.02507172833574465,281,0.5130434782608695,0,0,0,311,0.4608695652173913,0,0,0
LTP303,22,2,2,BEEF,1,0.8002186334295209,-0.05889621868126655,514,0.10782608695652174,0,0,0,396,0.31304347826086953,0,0,0
LTP303,22,2,3,OYSTER,1,0.8569818345623558,-0.045396770602954155,240,0.5843478260869566,0,0,0,367,0.36347826086956525,0,0,0
LTP303,22,2,4,RIFLE,1,0.8638841226242435,0.1444110058786466,173,0.7008695652173913,0,0,0,40,0.9321739130434783,0,0,0
LTP303,22,2,5,ANKLE,1,0.8627949544817713,0.05628586030709348,173,0.7008695652173913,0,0,0,190,0.671304347826087,0,0,0
LTP303,22,2,6,PIMPLE,1,0.8672229107487265,0.05737590369073871,133,0.7704347826086957,0,0,0,188,0.6747826086956521,0,0,0
LTP303,22,2,7,BLADE,1,0.875620252266368,-0.1040463881020639,73,0.8747826086956522,0,0,0,445,0.22782608695652173,0,0,0
LTP303,22,2,8,CLIMBER,1,0.8301269888588498,0.041109281818455634,439,0.23826086956521741,0,0,0,190,0.671304347826087,0,0,0
LTP303,22,2,9,SUMMIT,1,0.8380889015848787,-0.09324189238622567,394,0.3165217391304348,0,0,0,488,0.15304347826086961,0,0,0
LTP303,22,2,10,SISTER,1,0.7850301225452802,-0.09813702861036909,553,0.040000000000000036,0,0,0,488,0.15304347826086961,0,0,0
LTP303,22,2,11,FLIPPER,1,0.8424948752987215,0.06104563018301132,362,0.37217391304347824,0,0,0,133,0.7704347826086957,0,0,0
LTP303,22,2,12,MARKER,1,0.8635608535853861,-0.033562242569223064,161,0.7217391304347827,0,0,0,350,0.3930434782608696,0,0,0
LTP303,22,2,13,COMET,1,0.8373250020810631,0.02324514586304743,397,0.31130434782608696,0,0,0,231,0.6,0,0,0
LTP303,22,2,14,PILOT,1,0.8834848792135341,-0.00763808466190805,41,0.9304347826086956,0,0,0,284,0.5078260869565218,0,0,0
LTP303,22,2,15,DRINK,1,0.8179049900616484,0.03268772648507912,478,0.1704347826086956,0,0,0,200,0.6539130434782608,0,0,0
LTP303,22,2,16,MEDAL,0,0.8381896640683277,-0.23579840942537422,393,0.3182608695652174,0,0,0,560,0.02782608695652178,0,0,0
LTP303,22,2,17,POCKET,0,0.863689741850492,0.19185586428582213,190,0.671304347826087,0,0,0,17,0.9721739130434782,0,0,0
LTP303,22,2,18,PARROT,1,0.8483439752245748,0.03803716171802724,302,0.47652173913043483,0,0,0,218,0.6226086956521739,0,0,0
LTP303,22,2,19,FOOT,1,0.7953962375111533,0.15354083945702168,531,0.07826086956521738,0,0,0,48,0.9182608695652174,0,0,0
LTP303,22,2,20,HEART,1,0.8591905874253405,-0.1854015758082715,209,0.6382608695652174,0,0,0,530,0.07999999999999996,0,0,0
LTP303,22,2,21,RAZOR,1,0.8433310504094124,-0.013187546974398372,345,0.4017391304347826,0,0,0,306,0.4695652173913043,0,0,0
