mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	n/a	n/a	0	0	0
18721	START	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
18739	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	11	6	4	1
21218	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	19	8	2	9
23302	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	8	1	2	5
25937	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	9	2	3	4
27872	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	21	3	9	9
30484	STOP	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
61413	DISTRACTOR	n/a	LTP299	ltpFR2	2	1	n/a	n/a	n/a	n/a	0	0	0
61413	START	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
61428	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	21	5	8	9
64918	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	4	9	1
66936	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	20	6	7	7
69290	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	6	5	3
71956	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	13	3	2	8
73558	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	16	7	1	8
75428	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	14	9	3	2
77512	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	20	8	6	6
79759	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	11	3	7	1
81478	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	21	6	8	7
84246	STOP	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
86550	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	TROMBONE	1508	n/a	n/a	0	0	0
89103	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FIDDLE	561	n/a	n/a	0	0	0
91771	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	PARENT	1013	n/a	n/a	0	0	0
94210	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	CEILING	265	n/a	n/a	0	0	0
96643	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SMOG	1330	n/a	n/a	0	0	0
99429	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SCRIBBLE	1256	n/a	n/a	0	0	0
102062	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SUSPECT	1415	n/a	n/a	0	0	0
104651	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	HERO	706	n/a	n/a	0	0	0
107318	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	NURSE	963	n/a	n/a	0	0	0
110037	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	GIRL	637	n/a	n/a	0	0	0
112623	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	RUST	1219	n/a	n/a	0	0	0
115058	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FLIPPER	580	n/a	n/a	0	0	0
117594	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FLEET	578	n/a	n/a	0	0	0
120062	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	GUARD	667	n/a	n/a	0	0	0
122714	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	TAXI	1438	n/a	n/a	0	0	0
125517	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	FRECKLE	602	n/a	n/a	0	0	0
128220	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	SUMMIT	1405	n/a	n/a	0	0	0
130872	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	LIGHTNING	820	n/a	n/a	0	0	0
133641	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	CLOUD	328	n/a	n/a	0	0	0
136177	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	KLEENEX	782	n/a	n/a	0	0	0
138628	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	RIFLE	1192	n/a	n/a	0	0	0
141380	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	BABY	64	n/a	n/a	0	0	0
144031	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	DOLPHIN	483	n/a	n/a	0	0	0
146585	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	2	1	PERFUME	1049	n/a	n/a	0	0	0
148203	START	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
149367	DISTRACTOR	n/a	LTP299	ltpFR2	2	1	n/a	n/a	n/a	n/a	0	0	0
149372	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	6	2	2	2
150786	PROB	n/a	LTP299	ltpFR2	2	n/a	n/a	n/a	2	11	3	4	4
